n, Tsim_avg_ms
250, 269.73334
500, 250.06667
750, 259.81668
1000, 254.58333
1250, 256.03333
1500, 262.75
1750, 260.73334
2000, 250.31667
2250, 263.81668
2500, 258.31668
2750, 257.18332
3000, 256.11667
3250, 260.31668
3500, 259.58334
3750, 271.75
4000, 267.16666
4250, 262.45
4500, 266.6
4750, 285.63333
5000, 264.48334
