n, Tsim_avg_ms
250, 45.433334
500, 43.733334
750, 47.95
1000, 45.4
1250, 46.45
1500, 46.1
1750, 45.35
2000, 45.9
2250, 48.133335
2500, 48.533333
2750, 50.383335
3000, 50.433334
3250, 51.3
3500, 53.8
3750, 56.483334
4000, 59.383335
4250, 62.533333
4500, 63.85
4750, 68.066666
5000, 72.51667
