n, Tsim_avg_ms
250, 16.733334
500, 18.666666
750, 20.316668
1000, 23.416666
1250, 24.3
1500, 26.75
1750, 28.7
2000, 31.1
2250, 33.866665
2500, 36.683334
2750, 40.483334
3000, 44.666668
3250, 50.333332
3500, 56.5
3750, 61.983334
4000, 72.316666
4250, 82.11667
4500, 92.01667
4750, 103.4
5000, 113.333336
