n, Tsim_avg_ms
250, 2.1666667
500, 3.6666667
750, 6.6833334
1000, 11.25
1250, 19.85
1500, 26.95
1750, 35.083332
2000, 54.133335
2250, 63.133335
2500, 84.583336
2750, 96.73333
3000, 122.0
3250, 147.83333
3500, 175.28334
3750, 212.01666
4000, 242.78334
4250, 272.46667
4500, 294.11667
4750, 337.41666
5000, 382.18332
