n, Tsim_avg_ms
250, 6.35
500, 8.083333
750, 11.466666
1000, 15.583333
1250, 22.766666
1500, 26.9
1750, 32.85
2000, 42.516666
2250, 46.25
2500, 61.533333
2750, 66.75
3000, 78.11667
3250, 86.433334
3500, 105.96667
3750, 120.85
4000, 131.7
4250, 150.45
4500, 195.73334
4750, 235.61667
5000, 267.98334
