n, Tsim_avg_ms
250, 0.76666665
500, 1.8
750, 5.233333
1000, 6.85
1250, 8.65
1500, 9.7
1750, 13.816667
2000, 16.516666
2250, 17.6
2500, 22.083334
2750, 23.166666
3000, 27.533333
3250, 30.85
3500, 33.65
3750, 39.65
4000, 49.616665
4250, 57.35
4500, 65.583336
4750, 75.85
5000, 88.166664
