n, Tsim_avg_ms
250, 1.6666666
500, 3.8333333
750, 8.666667
1000, 14.816667
1250, 22.95
1500, 34.25
1750, 48.2
2000, 59.366665
2250, 79.38333
2500, 100.5
2750, 127.23333
3000, 166.55
3250, 192.61667
3500, 225.75
3750, 285.78333
4000, 325.1
4250, 370.31668
4500, 405.85
4750, 449.25
5000, 514.15
