n, Tsim_avg_ms
250, 1.6833333
500, 5.016667
750, 11.133333
1000, 17.45
1250, 26.85
1500, 37.15
1750, 47.15
2000, 60.15
2250, 73.833336
2500, 88.28333
2750, 106.13333
3000, 125.21667
3250, 163.63333
3500, 186.51666
3750, 202.08333
4000, 236.46666
4250, 264.78333
4500, 288.48334
4750, 329.21667
5000, 371.11667
