n, Tsim_avg_ms
250, 1.1666666
500, 2.65
750, 4.5333333
1000, 6.8
1250, 8.666667
1500, 11.016666
1750, 13.483334
2000, 16.15
2250, 18.15
2500, 20.733334
2750, 23.9
3000, 28.183332
3250, 32.516666
3500, 36.8
3750, 43.133335
4000, 50.933334
4250, 59.716667
4500, 67.35
4750, 78.53333
5000, 91.333336
