n, Tsim_avg_ms
250, 0.25
500, 0.25
750, 0.26666668
1000, 1.5666667
1250, 0.8
1500, 1.2666667
1750, 1.05
2000, 1.8166667
2250, 3.9
2500, 2.6166666
2750, 1.3333334
3000, 1.85
3250, 3.1666667
3500, 4.9166665
3750, 3.6333334
4000, 3.7333333
4250, 4.4
4500, 2.6
4750, 6.483333
5000, 6.866667
