n, Tsim_avg_ms
250, 1.2833333
500, 2.7666667
750, 7.1666665
1000, 10.45
1250, 15.466666
1500, 23.683332
1750, 32.033333
2000, 41.6
2250, 56.4
2500, 69.11667
2750, 82.416664
3000, 99.75
3250, 118.333336
3500, 143.66667
3750, 161.81667
4000, 188.76666
4250, 210.13333
4500, 243.01666
4750, 272.8
5000, 304.81668
