n, Tsim_avg_ms
250, 1.45
500, 3.45
750, 8.033334
1000, 13.6
1250, 21.983334
1500, 31.95
1750, 44.2
2000, 65.316666
2250, 87.2
2500, 101.9
2750, 126.88333
3000, 163.23334
3250, 201.68333
3500, 238.65
3750, 292.81668
4000, 330.91666
4250, 362.53333
4500, 403.33334
4750, 458.18332
5000, 510.23334
