n, Tsim_avg_ms
250, 1.3
500, 2.8
750, 7.05
1000, 12.166667
1250, 19.783333
1500, 29.0
1750, 46.583332
2000, 61.916668
2250, 103.666664
2500, 147.61667
2750, 177.0
3000, 238.35
3250, 273.58334
3500, 306.03333
3750, 344.33334
4000, 385.2
4250, 491.33334
4500, 557.7833
4750, 623.73334
5000, 662.2
