n, Tsim_avg_ms
250, 1.2666667
500, 2.9666667
750, 6.2
1000, 9.083333
1250, 11.5
1500, 15.433333
1750, 17.833334
2000, 22.9
2250, 26.666666
2500, 30.433332
2750, 36.266666
3000, 41.25
3250, 48.233334
3500, 55.4
3750, 63.966667
4000, 73.9
4250, 84.15
4500, 99.36667
4750, 116.98333
5000, 131.68333
