x,y
11.2884,256.4685
22.4645,262.7751
33.5293,268.9215
44.4841,274.9092
55.3299,280.7397
66.0677,286.4148
76.6988,291.9359
87.2240,297.3044
97.6445,302.5221
107.9613,307.5903
118.1755,312.5106
128.2880,317.2844
138.2999,321.9131
148.2122,326.3983
158.0259,330.7414
167.7419,334.9437
177.3612,339.0066
186.8849,342.9316
196.3137,346.7201
205.6488,350.3733
214.8909,353.8927
224.0411,357.2795
233.1003,360.5351
242.0693,363.6607
250.9490,366.6578
259.7404,369.5275
268.4444,372.2711
277.0617,374.8900
285.5933,377.3852
294.0400,379.7581
302.4026,382.0098
310.6821,384.1417
318.8792,386.1548
326.9947,388.0503
335.0294,389.8294
342.9842,391.4934
350.8599,393.0432
358.6571,394.4802
366.3768,395.8053
374.0197,397.0197
381.5865,398.1245
389.0781,399.1207
396.4951,400.0096
403.8383,400.7920
411.1084,401.4692
418.3062,402.0421
425.4324,402.5117
432.4877,402.8792
439.4728,403.1455
446.3883,403.3117
453.2351,403.3786
460.0137,403.3474
466.7249,403.2190
473.3693,402.9943
479.9476,402.6743
486.4605,402.2600
492.9085,401.7523
499.2924,401.1521
505.6127,400.4604
511.8702,399.6781
518.0654,398.8060
524.1990,397.8450
530.2715,396.7961
536.2836,395.6602
542.2358,394.4380
548.1289,393.1304
553.9633,391.7383
559.7397,390.2626
565.4586,388.7040
571.1205,387.0634
576.7262,385.3416
582.2761,383.5394
587.7707,381.6576
593.2107,379.6971
598.5966,377.6585
603.9288,375.5427
609.2080,373.3504
614.4347,371.0824
619.6094,368.7394
624.7325,366.3222
629.8047,363.8316
634.8265,361.2682
639.7982,358.6328
644.7205,355.9261
649.5938,353.1489
654.4186,350.3017
659.1954,347.3853
663.9247,344.4005
668.6070,341.3478
673.2426,338.2280
677.8322,335.0417
682.3760,331.7895
686.8746,328.4722
691.3285,325.0904
695.7380,321.6447
700.1037,318.1358
704.4260,314.5643
708.7052,310.9308
712.9418,307.2359
717.1364,303.4803
721.2891,299.6645
725.4006,295.7892
729.4711,291.8549
733.5012,287.8622
737.4911,283.8117
741.4413,279.7040
745.3523,275.5397
749.2243,271.3193
753.0578,267.0433
756.8531,262.7124
760.6107,258.3271
764.3309,253.8878
768.0141,249.3952
771.6606,244.8498
775.2709,240.2521
778.8452,235.6026
782.3840,230.9019
785.8875,226.1504
789.3562,221.3487
792.7903,216.4972
796.1904,211.5965
799.5565,206.6470
802.8892,201.6493
806.1887,196.6038
809.4554,191.5109
812.6896,186.3712
815.8916,181.1851
819.0618,175.9531
822.2004,170.6756
825.3077,165.3531
828.3842,159.9861
831.4300,154.5750
834.4455,149.1201
837.4310,143.6220
840.3868,138.0811
843.3132,132.4979
846.2105,126.8726
849.0790,121.2058
851.9189,115.4979
854.7305,109.7492
857.5142,103.9602
860.2702,98.1313
862.9988,92.2629
865.7002,86.3553
868.3748,80.4090
871.0227,74.4244
873.6443,68.4017
876.2397,62.3415
878.8094,56.2441
881.3535,50.1098
883.8723,43.9390
886.3660,37.7321
888.8349,31.4894
891.2792,25.2113
893.6993,18.8982
896.0952,12.5504
898.4673,6.1682
900.8158,-0.2480
