dt,MaxEnergy
0.001,1.12747408E8
0.003,1.18359432E8
0.005,1.21821944E8
0.007,1.16076096E8
0.009000001,1.70673024E8
0.011000001,1.12654112E8
0.013000001,1.66767728E8
0.0150000015,1.16386888E8
0.017,1.8826984E8
0.019000001,2.31418784E8
0.021000002,1.08441512E8
0.023000002,1.0581432E8
0.025000002,1.02043872E8
0.027000003,2.5207448E8
0.029000003,2.19307248E8
0.031000003,1.90973856E8
0.033000004,5.9150285E8
0.035000004,3.60671136E8
0.037000004,2.52495488E8
0.039000005,2.09938752E8
0.041000005,7.9794624E7
0.043000005,5.4361708E7
0.045000006,2.70463488E8
0.047000006,3.11543648E8
0.049000006,3.65567552E8
0.051000006,3.61658368E8
0.053000007,5.9297978E8
0.055000007,Infinity
0.057000007,Infinity
0.059000008,Infinity
0.061000008,Infinity
0.06300001,Infinity
0.065000005,Infinity
0.067,Infinity
