dt,MaxEnergy
0.001,1.15840584E8
0.003,1.51939584E8
0.005,1.31465752E8
0.007,1.41515104E8
0.009000001,2.25330928E8
0.011000001,1.52809101E9
0.013000001,1.7588504E8
0.0150000015,9.7768294E8
0.017,7.8225453E8
0.019000001,2.47867664E8
0.021000002,2.79253088E8
0.023000002,1.71911616E9
0.025000002,1.23202112E9
0.027000003,1.1613737E10
0.029000003,2.6361216E9
0.031000003,7.5727373E8
0.033000004,7.4352538E8
0.035000004,8.1546019E10
0.037000004,Infinity
0.039000005,Infinity
0.041000005,Infinity
0.043000005,Infinity
0.045000006,Infinity
0.047000006,Infinity
0.049000006,Infinity
0.051000006,Infinity
0.053000007,Infinity
0.055000007,Infinity
