x,y
1.1339,250.6542
2.2667,251.3067
3.3984,251.9577
4.5289,252.6069
5.6583,253.2546
6.7866,253.9006
7.9137,254.5450
9.0397,255.1878
10.1646,255.8290
11.2884,256.4685
12.4110,257.1064
13.5326,257.7427
14.6530,258.3774
15.7722,259.0105
16.8904,259.6419
18.0074,260.2718
19.1234,260.9000
20.2382,261.5267
21.3519,262.1517
22.4645,262.7751
23.5759,263.3969
24.6863,264.0172
25.7956,264.6358
26.9037,265.2528
28.0107,265.8682
29.1167,266.4821
30.2215,267.0943
31.3252,267.7050
32.4278,268.3140
33.5293,268.9215
34.6298,269.5274
35.7291,270.1317
36.8273,270.7344
37.9244,271.3356
39.0204,271.9351
40.1153,272.5331
41.2092,273.1295
42.3019,273.7243
43.3936,274.3175
44.4841,274.9092
45.5736,275.4993
46.6620,276.0878
47.7492,276.6748
48.8354,277.2602
49.9206,277.8440
51.0046,278.4263
52.0875,279.0070
53.1694,279.5862
54.2502,280.1638
55.3299,280.7398
56.4085,281.3142
57.4861,281.8872
58.5625,282.4586
59.6379,283.0284
60.7122,283.5966
61.7855,284.1634
62.8577,284.7285
63.9288,285.2922
64.9988,285.8543
66.0677,286.4148
67.1356,286.9738
68.2025,287.5313
69.2682,288.0872
70.3329,288.6417
71.3965,289.1945
72.4591,289.7458
73.5206,290.2957
74.5810,290.8439
75.6404,291.3907
76.6988,291.9359
77.7560,292.4796
78.8122,293.0218
79.8674,293.5624
80.9215,294.1016
81.9745,294.6392
83.0265,295.1753
84.0775,295.7098
85.1273,296.2429
86.1762,296.7745
87.2240,297.3045
88.2707,297.8330
89.3164,298.3601
90.3611,298.8856
91.4047,299.4096
92.4473,299.9321
93.4888,300.4531
94.5293,300.9726
95.5687,301.4906
96.6071,302.0071
97.6445,302.5222
98.6808,303.0357
99.7161,303.5477
100.7504,304.0582
101.7836,304.5673
102.8158,305.0748
103.8470,305.5809
104.8771,306.0855
105.9062,306.5886
106.9343,307.0902
107.9613,307.5904
108.9873,308.0890
110.0123,308.5862
111.0363,309.0819
112.0592,309.5761
113.0812,310.0689
114.1021,310.5602
115.1219,311.0500
116.1408,311.5383
117.1587,312.0252
118.1755,312.5106
119.1913,312.9946
120.2061,313.4771
121.2199,313.9581
122.2326,314.4376
123.2444,314.9157
124.2551,315.3924
125.2649,315.8676
126.2736,316.3413
127.2813,316.8136
128.2880,317.2844
129.2937,317.7538
130.2984,318.2217
131.3021,318.6882
132.3048,319.1532
133.3065,319.6168
134.3072,320.0790
135.3068,320.5397
136.3055,320.9989
137.3032,321.4568
138.2999,321.9131
139.2956,322.3681
140.2903,322.8216
141.2840,323.2737
142.2767,323.7244
143.2684,324.1736
144.2592,324.6214
145.2489,325.0677
146.2377,325.5127
147.2254,325.9562
148.2122,326.3983
149.1980,326.8390
150.1828,327.2783
151.1666,327.7161
152.1495,328.1525
153.1313,328.5875
154.1122,329.0211
155.0921,329.4533
156.0710,329.8841
157.0489,330.3134
158.0259,330.7414
159.0019,331.1679
159.9769,331.5930
160.9509,332.0168
161.9240,332.4391
162.8960,332.8600
163.8671,333.2796
164.8373,333.6977
165.8065,334.1144
166.7747,334.5298
167.7419,334.9437
168.7082,335.3562
169.6735,335.7674
170.6378,336.1772
171.6012,336.5855
172.5636,336.9925
173.5251,337.3981
174.4855,337.8023
175.4451,338.2052
176.4037,338.6066
177.3613,339.0067
178.3179,339.4054
179.2736,339.8027
180.2284,340.1986
181.1821,340.5932
182.1350,340.9864
183.0869,341.3782
184.0378,341.7686
184.9878,342.1577
185.9368,342.5454
186.8849,342.9317
187.8320,343.3167
188.7782,343.7003
189.7234,344.0825
190.6677,344.4634
191.6111,344.8429
192.5535,345.2211
193.4950,345.5979
194.4355,345.9734
195.3751,346.3474
196.3137,346.7202
197.2514,347.0916
198.1882,347.4616
199.1241,347.8303
200.0590,348.1976
200.9929,348.5636
201.9259,348.9283
202.8580,349.2916
203.7892,349.6536
204.7195,350.0142
205.6488,350.3735
206.5771,350.7314
207.5046,351.0880
208.4311,351.4433
209.3567,351.7972
210.2814,352.1498
211.2051,352.5011
212.1280,352.8510
213.0499,353.1996
213.9709,353.5469
214.8909,353.8929
215.8101,354.2375
216.7283,354.5808
217.6456,354.9228
218.5620,355.2634
219.4774,355.6028
220.3920,355.9408
221.3057,356.2775
222.2184,356.6129
223.1302,356.9469
224.0411,357.2797
224.9511,357.6111
225.8602,357.9413
226.7684,358.2701
227.6757,358.5976
228.5820,358.9238
229.4875,359.2487
230.3920,359.5723
231.2957,359.8946
232.1984,360.2156
233.1003,360.5353
234.0012,360.8537
234.9013,361.1708
235.8004,361.4866
236.6986,361.8011
237.5960,362.1143
238.4924,362.4262
239.3880,362.7369
240.2826,363.0462
241.1764,363.3542
242.0693,363.6610
242.9613,363.9665
243.8523,364.2707
244.7425,364.5736
245.6319,364.8752
246.5203,365.1756
247.4078,365.4747
248.2944,365.7725
249.1802,366.0690
250.0651,366.3642
250.9491,366.6581
251.8322,366.9508
252.7144,367.2422
253.5957,367.5324
254.4762,367.8213
255.3557,368.1089
256.2344,368.3952
257.1122,368.6803
257.9892,368.9641
258.8653,369.2466
259.7404,369.5279
260.6148,369.8079
261.4882,370.0867
262.3608,370.3642
263.2325,370.6404
264.1033,370.9154
264.9733,371.1891
265.8423,371.4616
266.7106,371.7329
267.5779,372.0029
268.4444,372.2716
269.3100,372.5391
270.1748,372.8053
271.0387,373.0703
271.9017,373.3340
272.7639,373.5966
273.6252,373.8578
274.4856,374.1178
275.3452,374.3766
276.2039,374.6342
277.0617,374.8904
277.9187,375.1455
278.7749,375.3993
279.6302,375.6519
280.4846,375.9033
281.3382,376.1534
282.1909,376.4023
283.0428,376.6500
283.8938,376.8965
284.7440,377.1417
285.5933,377.3857
286.4418,377.6284
287.2894,377.8700
288.1362,378.1103
288.9821,378.3494
289.8272,378.5873
290.6714,378.8239
291.5149,379.0594
292.3574,379.2937
293.1991,379.5267
294.0400,379.7585
294.8800,379.9891
295.7192,380.2185
296.5576,380.4467
297.3951,380.6737
298.2318,380.8995
299.0676,381.1241
299.9026,381.3474
300.7368,381.5696
301.5702,381.7905
302.4027,382.0103
303.2343,382.2289
304.0652,382.4462
304.8952,382.6624
305.7244,382.8773
306.5528,383.0911
307.3803,383.3037
308.2070,383.5151
309.0328,383.7253
309.8579,383.9343
310.6821,384.1422
311.5055,384.3488
312.3281,384.5542
313.1498,384.7585
313.9707,384.9615
314.7908,385.1635
315.6101,385.3642
316.4286,385.5637
317.2463,385.7621
318.0631,385.9592
318.8791,386.1552
319.6943,386.3501
320.5087,386.5437
321.3223,386.7362
322.1351,386.9275
322.9470,387.1176
323.7581,387.3066
324.5685,387.4944
325.3780,387.6810
326.1867,387.8665
326.9946,388.0508
327.8017,388.2339
328.6080,388.4159
329.4135,388.5967
330.2181,388.7764
331.0220,388.9549
331.8251,389.1322
332.6273,389.3084
333.4288,389.4834
334.2295,389.6573
335.0293,389.8300
335.8284,390.0015
336.6267,390.1719
337.4241,390.3412
338.2208,390.5093
