x,y
1.1334,250.6534
2.2656,251.3051
3.3967,251.9552
4.5266,252.6037
5.6555,253.2505
6.7832,253.8957
7.9097,254.5393
9.0352,255.1813
10.1595,255.8216
11.2827,256.4604
12.4048,257.0975
13.5258,257.7330
14.6456,258.3669
15.7643,258.9991
16.8819,259.6298
17.9984,260.2588
19.1137,260.8862
20.2280,261.5120
21.3411,262.1362
22.4531,262.7589
23.5640,263.3799
24.6738,263.9993
25.7825,264.6171
26.8901,265.2333
27.9965,265.8479
29.1019,266.4609
30.2062,267.0723
31.3093,267.6822
32.4114,268.2904
33.5123,268.8971
34.6122,269.5021
35.7109,270.1056
36.8086,270.7075
37.9051,271.3078
39.0006,271.9066
40.0949,272.5037
41.1882,273.0993
42.2804,273.6933
43.3714,274.2857
44.4614,274.8766
45.5503,275.4659
46.6381,276.0536
47.7249,276.6397
48.8105,277.2243
49.8950,277.8073
50.9785,278.3888
52.0609,278.9687
53.1422,279.5470
54.2224,280.1238
55.3015,280.6990
56.3796,281.2727
57.4566,281.8448
58.5325,282.4154
59.6073,282.9844
60.6810,283.5518
61.7537,284.1177
62.8253,284.6821
63.8959,285.2449
64.9653,285.8062
66.0337,286.3659
67.1010,286.9241
68.1673,287.4807
69.2325,288.0359
70.2966,288.5894
71.3597,289.1415
72.4217,289.6920
73.4826,290.2410
74.5425,290.7885
75.6013,291.3344
76.6591,291.8788
77.7158,292.4217
78.7714,292.9630
79.8260,293.5028
80.8795,294.0412
81.9320,294.5780
82.9834,295.1133
84.0338,295.6470
85.0831,296.1793
86.1314,296.7100
87.1786,297.2392
88.2248,297.7669
89.2700,298.2932
90.3141,298.8178
91.3571,299.3410
92.3991,299.8627
93.4401,300.3829
94.4800,300.9016
95.5189,301.4188
96.5567,301.9345
97.5935,302.4487
98.6293,302.9614
99.6640,303.4726
100.6977,303.9823
101.7304,304.4906
102.7620,304.9973
103.7926,305.5026
104.8221,306.0063
105.8507,306.5086
106.8782,307.0094
107.9047,307.5088
108.9301,308.0066
109.9546,308.5030
110.9780,308.9979
112.0003,309.4913
113.0217,309.9832
114.0420,310.4737
115.0613,310.9627
116.0796,311.4502
117.0969,311.9363
118.1132,312.4209
119.1284,312.9040
120.1427,313.3857
121.1559,313.8658
122.1681,314.3446
123.1793,314.8219
124.1894,315.2977
125.1986,315.7721
126.2068,316.2450
127.2139,316.7165
128.2201,317.1865
129.2252,317.6551
130.2293,318.1222
131.2325,318.5879
132.2346,319.0521
133.2357,319.5149
