x,y
1.1345,250.6550
2.2679,251.3084
3.4001,251.9601
4.5312,252.6102
5.6611,253.2587
6.7900,253.9055
7.9177,254.5507
9.0442,255.1943
10.1697,255.8363
11.2940,256.4766
12.4172,257.1154
13.5393,257.7525
14.6602,258.3880
15.7801,259.0219
16.8988,259.6541
18.0164,260.2848
19.1329,260.9138
20.2482,261.5412
21.3625,262.1670
22.4756,262.7912
23.5876,263.4138
24.6985,264.0349
25.8083,264.6543
26.9170,265.2721
28.0246,265.8883
29.1310,266.5029
30.2364,267.1159
31.3407,267.7273
32.4438,268.3372
33.5459,268.9454
34.6468,269.5521
35.7467,270.1571
36.8454,270.7606
37.9431,271.3625
39.0396,271.9628
40.1351,272.5616
41.2294,273.1587
42.3227,273.7543
43.4149,274.3483
44.5059,274.9407
45.5959,275.5316
46.6848,276.1209
47.7726,276.7086
48.8593,277.2947
49.9450,277.8793
51.0295,278.4623
52.1130,279.0438
53.1954,279.6237
54.2767,280.2020
55.3569,280.7788
56.4360,281.3540
57.5141,281.9277
58.5911,282.4998
59.6670,283.0704
60.7418,283.6394
61.8155,284.2068
62.8882,284.7727
63.9598,285.3371
65.0304,285.8999
66.0998,286.4612
67.1682,287.0209
68.2355,287.5791
69.3018,288.1357
70.3670,288.6909
71.4311,289.2444
72.4942,289.7965
73.5562,290.3470
74.6171,290.8960
75.6770,291.4435
76.7358,291.9894
77.7936,292.5338
78.8503,293.0767
79.9059,293.6180
80.9605,294.1578
82.0140,294.6962
83.0665,295.2330
84.1179,295.7682
85.1683,296.3020
86.2176,296.8343
87.2659,297.3650
88.3131,297.8942
89.3593,298.4219
90.4045,298.9482
91.4485,299.4728
92.4916,299.9960
93.5336,300.5177
94.5746,301.0379
95.6145,301.5566
96.6534,302.0738
97.6912,302.5895
98.7280,303.1037
99.7638,303.6164
100.7985,304.1276
101.8322,304.6373
102.8648,305.1456
103.8965,305.6523
104.9271,306.1576
105.9566,306.6613
106.9852,307.1636
108.0127,307.6644
109.0392,308.1638
110.0646,308.6616
111.0890,309.1580
112.1124,309.6529
113.1348,310.1463
114.1562,310.6382
115.1765,311.1287
116.1958,311.6177
117.2141,312.1052
118.2314,312.5913
119.2477,313.0759
120.2629,313.5590
121.2771,314.0406
122.2904,314.5208
123.3026,314.9996
124.3138,315.4769
125.3239,315.9527
126.3331,316.4271
127.3413,316.9000
128.3484,317.3715
129.3546,317.8415
130.3597,318.3101
131.3638,318.7772
132.3670,319.2429
133.3691,319.7071
134.3702,320.1699
135.3703,320.6312
136.3695,321.0911
137.3676,321.5496
138.3647,322.0066
139.3609,322.4622
140.3560,322.9163
141.3501,323.3690
142.3433,323.8203
143.3354,324.2701
144.3266,324.7186
145.3168,325.1656
146.3060,325.6111
147.2941,326.0552
148.2813,326.4980
149.2675,326.9392
150.2528,327.3791
151.2370,327.8176
152.2203,328.2546
153.2025,328.6902
154.1838,329.1244
155.1642,329.5572
156.1435,329.9886
157.1218,330.4185
158.0992,330.8471
159.0756,331.2742
160.0510,331.6999
161.0255,332.1242
161.9989,332.5471
162.9714,332.9687
163.9429,333.3888
164.9135,333.8075
165.8831,334.2248
166.8517,334.6407
167.8193,335.0552
168.7860,335.4684
169.7517,335.8801
170.7164,336.2904
171.6802,336.6994
172.6430,337.1070
173.6049,337.5132
174.5658,337.9179
175.5257,338.3214
176.4847,338.7234
177.4427,339.1240
178.3997,339.5233
179.3558,339.9211
180.3110,340.3177
181.2651,340.7128
182.2184,341.1065
183.1706,341.4989
184.1220,341.8899
185.0723,342.2795
186.0218,342.6678
186.9702,343.0547
187.9178,343.4402
188.8643,343.8243
189.8100,344.2072
190.7547,344.5886
191.6984,344.9687
192.6412,345.3474
193.5830,345.7247
194.5240,346.1007
195.4639,346.4754
196.4030,346.8487
197.3410,347.2206
198.2782,347.5912
199.2144,347.9604
200.1497,348.3283
201.0840,348.6948
202.0174,349.0600
202.9499,349.4238
203.8815,349.7863
204.8121,350.1475
205.7418,350.5073
206.6705,350.8657
207.5984,351.2229
208.5253,351.5787
209.4512,351.9331
210.3763,352.2863
211.3004,352.6381
212.2236,352.9885
213.1458,353.3376
214.0672,353.6855
214.9876,354.0319
215.9071,354.3771
216.8257,354.7209
217.7434,355.0634
218.6601,355.4046
219.5759,355.7444
220.4909,356.0829
221.4049,356.4202
222.3179,356.7561
223.2301,357.0907
224.1414,357.4240
225.0517,357.7559
225.9612,358.0865
226.8697,358.4159
227.7773,358.7439
228.6841,359.0706
229.5899,359.3960
230.4948,359.7201
231.3988,360.0429
232.3019,360.3644
233.2041,360.6846
234.1053,361.0035
235.0057,361.3211
235.9052,361.6374
236.8038,361.9524
237.7015,362.2661
238.5983,362.5785
239.4942,362.8896
240.3892,363.1994
241.2833,363.5079
242.1765,363.8152
243.0688,364.1212
243.9602,364.4258
244.8508,364.7292
245.7404,365.0313
246.6292,365.3321
247.5170,365.6317
248.4040,365.9299
249.2901,366.2269
250.1753,366.5226
251.0596,366.8171
251.9431,367.1102
252.8256,367.4021
253.7073,367.6927
254.5881,367.9821
255.4680,368.2701
256.3470,368.5569
257.2251,368.8425
258.1024,369.1267
258.9788,369.4098
259.8543,369.6915
260.7289,369.9720
261.6027,370.2512
262.4756,370.5292
263.3476,370.8059
264.2188,371.0813
265.0891,371.3555
265.9585,371.6285
266.8270,371.9002
267.6947,372.1706
268.5615,372.4398
269.4274,372.7078
270.2924,372.9745
271.1566,373.2399
272.0200,373.5041
272.8825,373.7670
273.7441,374.0287
274.6048,374.2892
275.4647,374.5484
276.3238,374.8064
277.1819,375.0632
278.0392,375.3187
278.8957,375.5730
279.7513,375.8260
280.6060,376.0778
281.4599,376.3284
282.3129,376.5777
283.1651,376.8258
284.0164,377.0727
284.8669,377.3184
285.7165,377.5628
286.5653,377.8060
287.4132,378.0480
288.2603,378.2888
289.1065,378.5283
289.9519,378.7666
290.7965,379.0037
291.6402,379.2396
292.4830,379.4743
293.3250,379.7077
294.1662,379.9400
295.0065,380.1710
295.8460,380.4008
296.6847,380.6294
297.5225,380.8568
298.3594,381.0830
299.1956,381.3080
300.0309,381.5318
300.8653,381.7543
301.6989,381.9757
302.5317,382.1959
303.3637,382.4149
304.1948,382.6326
305.0251,382.8492
305.8546,383.0646
306.6832,383.2788
307.5110,383.4918
308.3380,383.7036
309.1642,383.9142
309.9895,384.1236
310.8140,384.3318
311.6377,384.5388
312.4605,384.7447
313.2825,384.9493
314.1037,385.1528
314.9241,385.3551
315.7437,385.5562
316.5625,385.7561
317.3804,385.9549
318.1975,386.1525
319.0138,386.3488
319.8293,386.5441
320.6440,386.7381
321.4578,386.9310
322.2708,387.1227
323.0831,387.3132
323.8945,387.5025
324.7051,387.6907
325.5149,387.8777
326.3239,388.0636
327.1320,388.2483
327.9394,388.4318
328.7459,388.6141
329.5517,388.7953
330.3566,388.9753
331.1608,389.1542
331.9641,389.3319
332.7666,389.5085
333.5684,389.6838
334.3693,389.8581
335.1694,390.0312
335.9687,390.2031
336.7672,390.3739
337.5650,390.5435
338.3619,390.7120
339.1581,390.8793
339.9534,391.0455
340.7479,391.2106
341.5417,391.3745
342.3346,391.5372
343.1267,391.6988
343.9181,391.8593
344.7087,392.0186
