t,E,dt,integrator,sx,sy,vx,vy,ax,ay
0.005,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.01,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.015,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.02,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.024999999,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.029999997,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.034999996,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.039999995,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.044999994,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.049999993,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.054999992,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.05999999,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.06499999,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.06999999,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.074999996,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.08,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.085,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.09,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.095000006,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.10000001,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.10500001,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.110000014,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.11500002,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.12000002,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.12500001,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.13000001,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.135,-7350.75,0.005,NONE,500.0,750.0,0.0,0.0,0.0,0.0
0.14,1.12103664E8,0.005,RK4,500.0,743.9301,0.0,-2384.876,0.0,-447958.88
0.145,1.09668E8,0.005,RK4,500.0,726.73035,0.0,-4425.062,0.0,-363423.88
0.14999999,1.04121656E8,0.005,RK4,500.0,700.49524,0.0,-5979.4697,0.0,-255248.06
0.15499999,9.5610072E7,0.005,RK4,500.0,667.9075,0.0,-6954.993,0.0,-133615.19
0.15999998,8.5284672E7,0.005,RK4,500.0,631.98535,0.0,-7310.8706,0.0,-9129.761
0.16499998,7.4819696E7,0.005,RK4,500.0,595.8194,0.0,-7058.571,0.0,108059.43
0.16999997,6.5831508E7,0.005,RK4,500.0,562.3204,0.0,-6257.506,0.0,209041.95
0.17499997,5.938824E7,0.005,RK4,500.0,533.9979,0.0,-5007.1865,0.0,286779.22
0.17999996,5.5747552E7,0.005,RK4,500.0,512.78546,0.0,-3436.6694,0.0,336547.2
0.18499996,5.4218444E7,0.005,RK4,500.0,499.9225,0.0,-1692.3203,0.0,-310500.88
0.18999995,5.3011064E7,0.005,RK4,500.0,487.80695,0.0,-3104.8787,0.0,-251281.62
0.19499995,5.0294372E7,0.005,RK4,500.0,469.444,0.0,-4177.8086,0.0,-175766.08
0.19999994,4.6150936E7,0.005,RK4,500.0,446.70645,0.0,-4847.123,0.0,-91050.06
0.20499994,4.1145948E7,0.005,RK4,500.0,421.69647,0.0,-5085.27,0.0,-4508.172
