x,y
56.7247,282.7500
110.6131,311.4123
161.8071,336.1912
210.4414,357.2809
256.6440,374.8658
300.5364,389.1213
342.2343,400.2137
381.8472,408.3013
419.4795,413.5342
455.2302,416.0553
489.1934,416.0000
521.4584,413.4973
552.1101,408.6694
581.2292,401.6327
608.8925,392.4976
635.1725,381.3689
660.1385,368.3465
683.8563,353.5249
706.3881,336.9942
727.7934,318.8398
748.1284,299.1428
767.4467,277.9804
785.7990,255.4259
803.2337,231.5488
819.7967,206.4154
835.5315,180.0884
850.4796,152.6275
864.6802,124.0894
878.1709,94.5279
890.9870,63.9943
903.1623,32.5370
914.7288,0.2025
