x,y
53.8884,278.6623
105.0824,303.4412
153.7167,324.5309
199.9193,342.1158
243.8118,356.3713
285.5096,367.4637
325.1226,375.5513
362.7549,380.7842
398.5055,383.3053
432.4687,383.2500
464.7337,380.7473
495.3854,375.9194
524.5046,368.8827
552.1678,359.7476
578.4478,348.6189
603.4139,335.5965
627.1316,320.7749
649.6635,304.2442
671.0687,286.0898
691.4037,266.3928
710.7220,245.2304
729.0743,222.6759
746.5090,198.7988
763.0720,173.6654
778.8068,147.3384
793.7549,119.8775
807.9556,91.3393
821.4462,61.7779
834.2623,31.2442
846.4376,-0.2130
