x,y
55.3299,280.7398
107.9613,307.5903
158.0259,330.7414
205.6487,350.3734
250.9490,366.6578
294.0400,379.7581
335.0294,389.8295
374.0197,397.0197
411.1084,401.4692
446.3883,403.3117
479.9476,402.6743
511.8701,399.6781
542.2358,394.4379
571.1205,387.0634
598.5966,377.6584
624.7325,366.3222
649.5939,353.1488
673.2427,338.2279
695.7382,321.6447
717.1365,303.4803
737.4912,283.8118
756.8532,262.7125
775.2709,240.2522
792.7904,216.4973
809.4554,191.5110
825.3077,165.3532
840.3869,138.0812
854.7307,109.7493
868.3748,80.4091
881.3536,50.1099
893.6993,18.8983
905.4430,-13.1810
